node_id,celltype
15998768,sensory
15998782,sensory
15998817,sensory
15998899,sensory
15998913,sensory
16115501,sensory
16267292,sensory
16288872,sensory
16303262,sensory
16341399,sensory
16341507,sensory
16341966,sensory
16362243,sensory
16442344,sensory
16911458,sensory
17380936,sensory
17608754,sensory
17951153,sensory
18231999,sensory
18620885,sensory
18625446,sensory
18630153,sensory
18679889,sensory
18785124,sensory
18833414,sensory
18934019,sensory
19017854,sensory
19037563,sensory
19120772,sensory
19180425,sensory
29,internal
677717,internal
867393,internal
1042538,internal
1065967,internal
1137946,internal
1141813,internal
1591270,internal
1591351,internal
1622901,internal
1646076,internal
1678567,internal
1679034,internal
1690576,internal
1805406,internal
1805418,internal
1805669,internal
1868538,internal
1869592,internal
1961182,internal
1980134,internal
2123422,internal
2142817,internal
2204467,internal
2369444,internal
2379529,internal
2379544,internal
2432564,internal
2438653,internal
2439067,internal
2439134,internal
2439150,internal
2504517,internal
2505266,internal
2506050,internal
2511238,internal
2512602,internal
2568465,internal
2568522,internal
2597151,internal
2612527,internal
2619565,internal
2628785,internal
2650887,internal
2652641,internal
2659504,internal
2663649,internal
2667061,internal
2667980,internal
2669331,internal
2669844,internal
2772093,internal
2775707,internal
2775943,internal
2776773,internal
2784471,internal
2797480,internal
2816457,internal
2842451,internal
2846555,internal
2854715,internal
2878185,internal
2881070,internal
2885630,internal
2910892,internal
2911847,internal
2914206,internal
2920061,internal
2920554,internal
2921933,internal
2932028,internal
2935173,internal
2935198,internal
2963280,internal
2964760,internal
2966602,internal
2979486,internal
2979675,internal
2988292,internal
3002410,internal
3009700,internal
3010486,internal
3021609,internal
3043970,internal
3048606,internal
3058132,internal
3060480,internal
3061422,internal
3093284,internal
3122533,internal
3149791,internal
3157405,internal
3158085,internal
3158123,internal
3163105,internal
3166745,internal
3166836,internal
3167039,internal
3180681,internal
3182103,internal
3220616,internal
3232277,internal
3232808,internal
3234817,internal
3235409,internal
3251140,internal
3272218,internal
3276003,internal
3299214,internal
3347708,internal
3347834,internal
3420915,internal
3450442,internal
3450751,internal
3486381,internal
3486950,internal
3497901,internal
3522293,internal
3538129,internal
3543931,internal
3564452,internal
3571478,internal
3587612,internal
3595837,internal
3598000,internal
3620633,internal
3622234,internal
3650006,internal
3664102,internal
3690921,internal
3707204,internal
3709977,internal
3712893,internal
3726990,internal
3729504,internal
3736500,internal
3756659,internal
3764792,internal
3765728,internal
3765735,internal
3793681,internal
3793760,internal
3794023,internal
3805641,internal
3806573,internal
3813487,internal
3814175,internal
3814635,internal
3814651,internal
3814853,internal
3815483,internal
3819157,internal
3819171,internal
3819859,internal
3820148,internal
3844799,internal
3844961,internal
3848843,internal
3862443,internal
3869488,internal
3886356,internal
3890028,internal
3913613,internal
3913620,internal
3913629,internal
3930411,internal
3931398,internal
3932136,internal
3945136,internal
3945225,internal
3945232,internal
3945246,internal
3945394,internal
3945454,internal
3945756,internal
3946166,internal
3946364,internal
3946432,internal
3946569,internal
3979181,internal
3991518,internal
4017464,internal
4022539,internal
4067286,internal
4099900,internal
4101295,internal
4101621,internal
4102413,internal
4103336,internal
4108016,internal
4108720,internal
4110483,internal
4114133,internal
4117305,internal
4119387,internal
4127096,internal
4127707,internal
4127911,internal
4127926,internal
4127938,internal
4127944,internal
4128002,internal
4130960,internal
4134539,internal
4142619,internal
4144377,internal
4152020,internal
4152272,internal
4154421,internal
4173633,internal
4180774,internal
4185530,internal
4188290,internal
4188325,internal
4190567,internal
4195012,internal
4199033,internal
4201020,internal
4201555,internal
4206755,internal
4214582,internal
4227304,internal
4227544,internal
4227831,internal
4227880,internal
4228105,internal
4228119,internal
4229950,internal
4230061,internal
4230739,internal
4230749,internal
4234009,internal
4234016,internal
4234559,internal
4235139,internal
4241192,internal
4241237,internal
4247099,internal
4260935,internal
4274518,internal
4279887,internal
4311241,internal
4311586,internal
4319395,internal
4324479,internal
4324567,internal
4324898,internal
4327684,internal
4337398,internal
4346154,internal
4354933,internal
4379508,internal
4379603,internal
4381129,internal
4381377,internal
4390116,internal
4391317,internal
4391978,internal
4393026,internal
4393049,internal
4393350,internal
4398543,internal
4401350,internal
4408362,internal
4408369,internal
4408397,internal
4409374,internal
4411505,internal
4411542,internal
4411688,internal
4412036,internal
4412315,internal
4414163,internal
4414184,internal
4414426,internal
4415241,internal
4422289,internal
4433197,internal
4433960,internal
4444354,internal
4473922,internal
4493199,internal
4507955,internal
4514494,internal
4515496,internal
4518546,internal
4555763,internal
4570270,internal
4575178,internal
4591713,internal
4595609,internal
4598109,internal
4598363,internal
4607160,internal
4617479,internal
4620453,internal
4635057,internal
4636432,internal
4637677,internal
4651929,internal
4663875,internal
4664256,internal
4665186,internal
4665627,internal
4679139,internal
4680995,internal
4700078,internal
4700182,internal
4721087,internal
4721538,internal
4749004,internal
4778745,internal
4780707,internal
4785242,internal
4812481,internal
4847079,internal
4849988,internal
4876704,internal
4876839,internal
4884579,internal
4901087,internal
4917442,internal
4926999,internal
4966994,internal
4982172,internal
4983938,internal
4985759,internal
5010581,internal
5019924,internal
5030808,internal
5033480,internal
5051342,internal
5052370,internal
5053417,internal
5080991,internal
5091874,internal
5108525,internal
5118060,internal
5134110,internal
5162462,internal
5163599,internal
5164129,internal
5167842,internal
5169587,internal
5186443,internal
5247102,internal
5261424,internal
5289042,internal
5291791,internal
5319633,internal
5321459,internal
5322337,internal
5326407,internal
5327961,internal
5343578,internal
5369028,internal
5395823,internal
5453333,internal
5462159,internal
5474852,internal
5476653,internal
5480553,internal
5484314,internal
5500958,internal
5503982,internal
5507096,internal
5512988,internal
5516552,internal
5545085,internal
5560620,internal
5577650,internal
5585799,internal
5590611,internal
5591201,internal
5592307,internal
5606265,internal
5656152,internal
5657004,internal
5669107,internal
5671303,internal
5675990,internal
5678582,internal
5679304,internal
5680013,internal
5681132,internal
5689639,internal
5690425,internal
5691934,internal
5700090,internal
5704424,internal
5708994,internal
5712849,internal
5730322,internal
5734134,internal
5738449,internal
5744058,internal
5744502,internal
5745110,internal
5745929,internal
5746180,internal
5747036,internal
5750884,internal
5754346,internal
5755261,internal
5760480,internal
5762666,internal
5763407,internal
5767836,internal
5768240,internal
5769582,internal
5771934,internal
5778133,internal
5782947,internal
5783868,internal
5786898,internal
5790355,internal
5791548,internal
5794678,internal
5805651,internal
5816138,internal
5835799,internal
5835815,internal
5836035,internal
5836163,internal
5836181,internal
5836197,internal
5836206,internal
5836387,internal
5855343,internal
5856647,internal
5858788,internal
5859372,internal
5865628,internal
5870071,internal
5874480,internal
5893912,internal
5895651,internal
5898284,internal
5900426,internal
5902352,internal
5934511,internal
5935744,internal
5936935,internal
5937084,internal
5938794,internal
5946241,internal
5959820,internal
5963873,internal
5966099,internal
5971400,internal
5973097,internal
5975584,internal
5993765,internal
5995125,internal
6011278,internal
6049565,internal
6061068,internal
6111289,internal
6114695,internal
6125806,internal
6133702,internal
6143930,internal
6153877,internal
6154200,internal
6154921,internal
6155577,internal
6156152,internal
6182848,internal
6188181,internal
6190181,internal
6193472,internal
6218461,internal
6219781,internal
6220384,internal
6250655,internal
6252764,internal
6290724,internal
6298455,internal
6300434,internal
6446394,internal
6451332,internal
6494274,internal
6494382,internal
6557581,internal
6572414,internal
6591182,internal
6597872,internal
6609380,internal
6610913,internal
6611100,internal
6611894,internal
6623049,internal
6623089,internal
6633635,internal
6653450,internal
6692908,internal
6699205,internal
6700147,internal
6702830,internal
6703240,internal
6704232,internal
6723364,internal
6729443,internal
7005145,internal
7005184,internal
7020344,internal
7025064,internal
7025831,internal
7026287,internal
7053966,internal
7055857,internal
7056904,internal
7057730,internal
7057894,internal
7058243,internal
7065182,internal
7092086,internal
7092417,internal
7107433,internal
7124156,internal
7168356,internal
7184082,internal
7187384,internal
7196392,internal
7198338,internal
